0,1,2,3,4
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999993, [0.456584985850826]]","['Wp1', -0.04383363185949296, [1.4292576101259116]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W2', 0.020626920118550645, [1.6373359084996402]]","['Wp1', -0.31534610174756134, [2.491969807655417]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W2', 0.03455866116616792, [0.8234763865242419]]","['Wp1', -0.378281688115221, [1.275839755419991]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.1, 0.9]","['W3', 0.04999999999999996, [2.8722318993420344]]","['Wp1', -0.4, [0.8797986479570945]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.01913358223783226, [1.779842146237424]]","['Wp1', -0.14881587002182525, [1.8856395113382285]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W2', 0.041253840151948926, [1.599826976131768]]","['Wp1', -0.22898834408927699, [2.928437317250489]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W2', 0.09999999999999995, [1.5483136722253732]]","['Wp1', -0.28169870746587017, [0.3019693160680757]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.2, 0.8]","['W3', 0.09999999999999995, [2.875754375185126]]","['Wp1', -0.3, [1.8125403092424746]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W1', 0.06696753783282193, [3.0341899237740666]]","['Wp1', -0.08896908750536248, [0.514580127870678]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W2', 0.0618807602279201, [2.860384093901708]]","['Wp1', -0.1466292079871256, [1.810313579737688]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W2', 0.10367598346621631, [1.2146858273693362]]","['Wp1', -0.1860990957848767, [2.4318691293221804]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.3, 0.7]","['W2', 0.14999999999999997, [2.9477048187526522]]","['Wp1', -0.19999999999999996, [0.8164702277679337]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.018745113470893998, [1.0525417050472066]]","['Wp1', -0.07759382672648016, [0.5493916189111725]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04074793771629602, [2.5094811211713353]]","['Wp1', -0.09397869960301446, [2.6542264112541254]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [1.0043570883857684]]","['Wp1', -0.09999999999999996, [1.954405665637237]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W2', 0.03826716447586505, [2.782551216665283]]","['Wp1', -0.03938068508460058, [1.9215934012634481]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.08250768030389338, [3.042809762851935]]","['Wp1', -0.06971177859992161, [1.2919412164186226]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.1382346446214767, [3.1215328632843677]]","['Wp1', -0.09194400335287903, [1.3522294194912616]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(45.0, 90.0)]","[0.4, 0.6]","['W2', 0.19999999999999993, [1.867559072075117]]","['Wp1', -0.1, [0.6658614946486794]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.01874511347089404, [1.17297283685737]]","['Wp1', -0.07759382672648003, [1.726155176653653]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.040747937709744456, [2.630016172356014]]","['Wp1', -0.09397869960300005, [2.5364480657582003]]"
"['psi plus, psi minus', 'phi plus, phi minus']","[(59.99999999999999, 90.0)]","[0.4, 0.6]","['W2', 0.05000000000000002, [0.5482869868463003]]","['Wp1', -0.09999999999999996, [1.1900737846182445]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.028062084947198862, [0.953295221897831]]","['Wp3', -0.0472786696737699, [0.6564531948960489]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.043729121280313005, [1.8833736639254595]]","['Wp1', -0.01871373881160382, [2.8926757709037942]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999996, [3.009951086334622]]","['Wp1', -0.0327821603372339, [0.3880281058547368]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 0.057295779513082325)]","[0.5, 0.5]","['W2', 0.02608910089695321, [0.6399446250235596]]","['Wp3', -0.09150620998212844, [2.353870911024538]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.03405248322600936, [0.7363554571628301]]","['Wp3', -0.07768030285432773, [0.47797694381515116]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.05596621639304335, [1.068367174289197]]","['Wp3', -0.03827906343880561, [0.43778916781714394]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W6', 0.05587933482314031, [0.23239931530557956]]","['Wp1', -0.03844005665668787, [1.2267891572558294]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.5, 0.5]","['W6', 0.034002971693863, [2.96704567311349]]","['Wp1', -0.07776696430636947, [1.6858778905770107]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.5, 0.5]","['W6', 0.02608901906525997, [2.208719125760109]]","['Wp1', -0.09150635094580974, [0.4025591776573272]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 18.045836623610466)]","[0.4, 0.6]","['W6', 0.04999999999999994, [2.297697412633297]]","['Wp3', -0.2166725957205935, [2.9637988458577116]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W4', 0.04999999999999993, [2.3262962922705626]]","['Wp3', -0.11132960472295, [1.5504270617803761]]"
