states,eta-chi,probabilities,W,Wp,Wpp
"['phi plus, phi minus', 'HD_VA']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W2', 0.1999999999999999, [0.4856043490897018]]","['W_pp_a2', 9.99966667111122e-06, [1.8106915767804643]]","[9.99966667111122e-06, 'W_pp_a2', [1.8106915767804643]]"
"['phi plus, phi minus', 'HD_VA']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W2', 0.043987029086649025, [0.8414931899378313]]","['W_pp_a2', 3.41310981440962e-05, [0.08487312750328697]]","[3.41310981440962e-05, 'W_pp_a2', [0.08487312750328697]]"
"['phi plus, phi minus', 'HD_VA']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W2', 0.1499999999999999, [1.4303655031576006]]","['W_pp_b2', 2.000533294223444e-05, [1.4731006225717096]]","[2.000533294223444e-05, 'W_pp_b2', [1.4731006225717096]]"
"['psi plus, psi minus', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.05864937211553203, [1.1857901725707027]]","['W_pp_b2', 1.7065555556107425e-05, [1.498311190047033]]","[1.7065555556107425e-05, 'W_pp_b2', [1.498311190047033]]"
"['psi plus, psi minus', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W4', 0.19999999999999987, [0.5201701747384923]]","['W_pp_b2', 9.99988650683287e-06, [1.1456760391191052]]","[9.99988650683287e-06, 'W_pp_b2', [1.1456760391191052]]"
"['psi plus, psi minus', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.04398702908664903, [1.8311265124098437]]","['W_pp_b2', 3.413110230025852e-05, [0.3492800233928361]]","[3.413110230025852e-05, 'W_pp_b2', [0.3492800233928361]]"
"['psi plus, psi minus', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W1', 0.14999999999999988, [1.7736850153251718]]","['W_pp_b2', 2.0000816392709655e-05, [2.4253572888274406]]","[2.0000816392709655e-05, 'W_pp_b2', [2.4253572888274406]]"
"['psi plus, psi minus', 'HA_VD']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.058649372115532034, [1.163573864891308]]","['W_pp_a2', 1.7065549072047855e-05, [0.36493580999402775]]","[1.7065549072047855e-05, 'W_pp_a2', [0.36493580999402775]]"
"['psi plus, psi minus', 'HA_VD']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W6', 0.19999999999999987, [2.9151019547161847]]","['W_pp_a2', 9.999666671111079e-06, [0.4296046845114791]]","[9.999666671111079e-06, 'W_pp_a2', [0.4296046845114791]]"
"['psi plus, psi minus', 'HA_VD']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.043987029089403995, [1.293419799551098]]","['W_pp_a2', 3.41310981440951e-05, [2.5295659353338857]]","[3.41310981440951e-05, 'W_pp_a2', [2.5295659353338857]]"
"['psi plus, psi minus', 'HA_VD']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W4', 0.14999999999999988, [1.8337563334678177]]","['W_pp_a2', 2.00026005200202e-05, [0.6034444122218906]]","[2.00026005200202e-05, 'W_pp_a2', [0.6034444122218906]]"
