states,eta-chi,probabilities,W,Wp
"['HL_iVR', 'HR_VL']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.134505422051646, [1.6624329586847661]]","['Wp2', -8.971567806422923, [1.7698150181026195]]"
"['HL_iVR', 'HR_VL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.086153405167357, [2.8732420359305064]]","['Wp2', -1.1133667665080036, [1.5475537020294594]]"
"['HL_iVR', 'HR_VL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.1689903421089833, [2.2498686184604453]]","['Wp2', -3.7272368726029352, [2.3795799311284083]]"
"['HL_iVR', 'HR_VL']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.228399842868206, [1.0187974180576775]]","['Wp2', -6.746075574021569, [2.4621763449268017]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W2', 4.262298904947062, [2.330150885309208]]","['Wp2', -0.02244066295033864, [2.6390688339711756]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 5.34611467057127, [1.688846742225966]]","['Wp2', -7.06789471700762, [1.6827775638988813]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W5', 5.823259350070219, [2.250999469521517]]","['Wp2', -14.1133487710649, [1.033880369071925]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209692, [1.365754224472181]]","['Wp2', -21.15880282512218, [0.9374469034490331]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.241492811454689, [2.2299379162195163]]","['Wp2', -28.204256879179457, [0.4958371909676966]]"
"['HL_iVR', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280353, [2.1278347554080077]]","['Wp2', -35.24971093323674, [1.2738096788365365]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W1', 3.41638714940553, [3.093306474185356]]","['Wp2', -0.020550738208272468, [2.8713006652504403]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W5', 4.313373863548281, [1.7991665425820043]]","['Wp2', -6.472645408662318, [0.40399209787128787]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 4.735203887113146, [2.8691930692053043]]","['Wp2', -12.924740079116365, [1.8034727100260788]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208561, [2.7848078922212753]]","['Wp2', -19.37683474957042, [0.10848899576810864]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W6', 5.124976508363663, [2.9304929493936362]]","['Wp2', -25.828929420024465, [2.9172994565019588]]"
"['HL_iVR', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.229527727492695, [1.867601827824782]]","['Wp2', -32.28102409047851, [0.6861908573100243]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 2.648888838815661, [2.7149545656394527]]","['Wp2', -0.018455477283199184, [1.4182172980836611]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W6', 3.361029304879838, [3.0505128809060755]]","['Wp2', -5.8127235669657775, [1.1704183734313962]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.712777701498582, [2.468710343121021]]","['Wp2', -11.606991656648356, [0.2556090006130908]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W5', 3.918122038354341, [2.4929708276658924]]","['Wp2', -17.401259746330936, [0.30536011703826776]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W5', 4.051750189913987, [1.1123604851447124]]","['Wp2', -23.19552783601351, [2.0144007427666106]]"
"['HL_iVR', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.1453565076645535, [1.5180359324111872]]","['Wp2', -28.989795925696093, [1.5091284836045]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W2', 1.9674726972033632, [1.4821757518040488]]","['Wp2', -0.01617581532968404, [1.9831744267233065]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W5', 2.5058959569037653, [1.2461075025642765]]","['Wp2', -5.094722912819064, [1.7059493609419778]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.781840705666506, [0.857861033223868]]","['Wp2', -10.173270010308443, [2.9270928418929225]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.9471915351897335, [2.503795920191509]]","['Wp2', -15.251817107797825, [2.041113229177297]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W5', 3.05675448990173, [2.2072743010233933]]","['Wp2', -20.330364205287204, [0.625138292407476]]"
"['HL_iVR', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W5', 3.1345054220516437, [1.473492658358562]]","['Wp2', -25.40891130277659, [0.5916841994307562]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 0.057295779513082325]","['W2', 1.3789472940610241, [1.0652444904825304]]","['Wp2', -0.013734529976405618, [0.04185491034412813]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.7613915813836807, [1.7665876023593337]]","['Wp2', -4.325817471418949, [0.12878998818138615]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W5', 1.9629237624877722, [1.1189019475649424]]","['Wp2', -8.637900412861494, [1.3906489502673782]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.086153405167357, [2.1718169581636717]]","['Wp2', -12.949983354304042, [0.35809458001236805]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W6', 2.1689903421089807, [2.441377850206738]]","['Wp2', -17.262066295746585, [2.4647075195980506]]"
"['HL_iVR', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.228399842868207, [2.47056879871705]]","['Wp2', -21.57414923718913, [2.792676923566202]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W6', 4.259991470358124, [2.322382632963279]]","['Wp3', -0.017587009845020898, [2.8702101862371014]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W6', 5.234399654353827, [1.0113862379220595]]","['Wp3', -6.10189495620692, [0.8925546784230287]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 5.823259350070218, [3.0077819389309677]]","['Wp3', -12.718622108367306, [1.2481660504463785]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 6.081500181209693, [1.1392935461791553]]","['Wp3', -19.526261609101468, [1.8770014058132096]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.241492811454688, [2.940068901488943]]","['Wp3', -26.421455468904522, [2.689427319935053]]"
"['HL_iVR', 'HD_iVA']","[0.1, 0.9]","[45.0, 90.0]","['W1', 6.349852423280353, [1.0891395200582323]]","['Wp3', -33.36362663262341, [1.7320496745976586]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W6', 3.416098095618527, [1.0787924445847097]]","['Wp3', -0.014751296430369853, [1.2439430873682196]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 4.313373863548281, [0.9653984054043716]]","['Wp3', -5.270576556808002, [2.726270581082874]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 4.735203887113146, [3.1227372210211493]]","['Wp3', -11.160339779692801, [1.3890258615377713]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208562, [1.1500938271351675]]","['Wp3', -17.29428593582631, [2.945686147743529]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 5.124976508363664, [0.03538508724646449]]","['Wp3', -23.54350861014369, [2.4557945138233017]]"
"['HL_iVR', 'HD_iVA']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.2295277274926955, [2.350478314593402]]","['Wp3', -29.855465263089787, [2.7132344014135166]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 2.6488888388156613, [1.8089258893454523]]","['Wp3', -0.01189819101187728, [2.430769261665714]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 3.3610293048798385, [1.7940983769357088]]","['Wp3', -4.389855825913816, [0.8966009966259422]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.712777701498582, [1.3068850928172826]]","['Wp3', -9.475031122684742, [0.0097948409537141]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 3.9181220383543445, [0.3113008841038431]]","['Wp3', -14.857390241220164, [2.7524210225600507]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 4.051750189913992, [0.8627316418902425]]","['Wp3', -20.385610011009657, [2.037444991100059]]"
"['HL_iVR', 'HD_iVA']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.145356507664555, [0.5621687921364733]]","['Wp3', -25.994796975151548, [1.5775514751224888]]"
"['HL_iVR', 'HD_iVA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037667, [1.4357037305682991]]","['Wp3', -3.489212423342323, [2.071536753500606]]"
"['HL_iVR', 'HD_iVA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.781840705666506, [0.8047319937458652]]","['Wp3', -7.70531008393699, [1.978623709995454]]"
"['HL_iVR', 'HD_iVA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.9471915351897318, [0.7980213871491405]]","['Wp3', -12.264813610548082, [2.530602820101336]]"
"['HL_iVR', 'HD_iVA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 3.0567544899017296, [2.768626503339235]]","['Wp3', -17.001945404560487, [2.9751565952508665]]"
"['HL_iVR', 'HD_iVA']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.134505422051646, [1.1435829376223856]]","['Wp3', -21.840507103828905, [2.7448252662394723]]"
"['HL_iVR', 'HD_iVA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.7613915813836811, [1.7385784019005845]]","['Wp3', -2.6041731130605443, [3.101112994450782]]"
"['HL_iVR', 'HD_iVA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 1.9629237624877747, [1.3841713120366703]]","['Wp3', -5.9067333675160425, [3.0243714557190544]]"
"['HL_iVR', 'HD_iVA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.086153405167356, [0.8819493467923759]]","['Wp3', -9.58163473252121, [2.0705369207137703]]"
"['HL_iVR', 'HD_iVA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.168990342108982, [1.9034704243274632]]","['Wp3', -13.463328994736724, [1.267464273941236]]"
"['HL_iVR', 'HD_iVA']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.2283998428682072, [1.2787566415420628]]","['Wp3', -17.468084423630362, [2.5772098418765403]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W5', 4.259991470358123, [1.362565301971316]]","['Wp3', -0.017587009845008814, [0.8840541030757757]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W5', 5.234399654353828, [2.854813072526515]]","['Wp3', -6.10189495620692, [0.640337001917275]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 5.823259350070218, [0.9601327609060583]]","['Wp3', -12.718622108367306, [0.07365953318771445]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209697, [3.054207610269079]]","['Wp3', -19.52626160910147, [1.4939534158522234]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.241492811454687, [2.766634597457781]]","['Wp3', -26.421455468904526, [1.0913296925808198]]"
"['HL_iVR', 'HA_iVD']","[0.1, 0.9]","[45.0, 90.0]","['W1', 6.349852423280355, [1.4417225468521095]]","['Wp3', -33.363626632623394, [1.555492481165046]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W5', 3.416098095618522, [1.3619397967734554]]","['Wp3', -0.014751296430378955, [0.2876370255691381]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 4.313373863548282, [3.1313027745803685]]","['Wp3', -5.270576556808004, [0.5818978493258278]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 4.735203887113146, [1.021982344504927]]","['Wp3', -11.160339779692801, [0.7631928984984847]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 4.973386508208561, [2.8267690819399593]]","['Wp3', -17.294285935826295, [2.454392687393719]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 5.124976508363664, [2.493334875419309]]","['Wp3', -23.543508610143714, [2.255306623223898]]"
"['HL_iVR', 'HA_iVD']","[0.2, 0.8]","[45.0, 90.0]","['W2', 5.229527727492697, [0.12217993408155312]]","['Wp3', -29.855465263089787, [0.2790628467205508]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 2.648888838815661, [2.3906589452954394]]","['Wp3', -0.011898191011880685, [2.4788683157489255]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 3.36102930487984, [2.059394354339535]]","['Wp3', -4.389855825913817, [0.31430488246465393]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.7127777014985828, [1.8566517158159248]]","['Wp3', -9.475031122684737, [2.9507260274859277]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 3.918122038354345, [1.1675613079771312]]","['Wp3', -14.857390241220193, [1.0027314365151416]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 4.051750189913992, [2.29017478623069]]","['Wp3', -20.38561001100966, [1.058907821025578]]"
"['HL_iVR', 'HA_iVD']","[0.3, 0.7]","[45.0, 90.0]","['W2', 4.1453565076645535, [1.4057492029954164]]","['Wp3', -25.99479697515155, [0.9313645030773484]]"
"['HL_iVR', 'HA_iVD']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037667, [2.0220526206391147]]","['Wp3', -3.48921242334288, [1.4033015876542918]]"
"['HL_iVR', 'HA_iVD']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.7818407056665064, [1.8411553090201611]]","['Wp3', -7.705310083936987, [0.7899758758829778]]"
"['HL_iVR', 'HA_iVD']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.947191535189732, [2.5322890579111075]]","['Wp3', -12.264813610548078, [2.321157114714658]]"
"['HL_iVR', 'HA_iVD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 3.056754489901729, [2.299333067450332]]","['Wp3', -17.00194540456048, [1.912747189447533]]"
"['HL_iVR', 'HA_iVD']","[0.4, 0.6]","[45.0, 90.0]","['W2', 3.1345054220516473, [3.031408309477579]]","['Wp3', -21.840507103828905, [0.48088854217125654]]"
"['HL_iVR', 'HA_iVD']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.761391581383704, [0.4441466146949549]]","['Wp3', -2.604173113060545, [1.315501355867894]]"
"['HL_iVR', 'HA_iVD']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 1.9629237624877744, [2.110773786972836]]","['Wp3', -5.906733367516045, [2.4187582452592467]]"
"['HL_iVR', 'HA_iVD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.086153405167356, [1.836984464319422]]","['Wp3', -9.581634732521282, [0.5593594751033981]]"
"['HL_iVR', 'HA_iVD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.168990342108982, [2.135376194655491]]","['Wp3', -13.463328994736637, [1.7596032115197742]]"
"['HL_iVR', 'HA_iVD']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.2283998428682064, [0.9489247416283837]]","['Wp3', -17.468084423630387, [0.20032607549635198]]"
"['HD_VA', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 0.0370780825999808, [2.0267174010497158]]","['Wp3', -2.066071156140138, [2.7909687209311027]]"
"['HD_VA', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 0.23914671304511992, [1.144642962508883]]","['Wp3', -1.238767877608735, [1.735354414012247]]"
"['HD_VA', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 0.037078082599981466, [2.146468970457754]]","['Wp1', -3.778933199571807, [1.814189350939736]]"
"['HD_VA', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.23914671304511947, [1.9681476476827358]]","['Wp1', -2.9923519038794013, [2.1360410752141044]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W4', 4.259991470358127, [2.8264681738155657]]","['Wp2', -0.017587009845026147, [2.958254464961783]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W4', 5.234399654353828, [2.8448542569177855]]","['Wp2', -6.101894956206916, [2.5495302529171444]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 5.823259350070218, [0.6384253735425071]]","['Wp2', -12.7186221083673, [1.8431824331518307]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 6.081500181209692, [0.5035502906658456]]","['Wp2', -19.52626160910146, [0.9479000978689074]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.241492811454685, [2.1438587764061823]]","['Wp2', -26.421455468904526, [2.3847481568507454]]"
"['HD_VA', 'HR_VL']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280353, [1.695540990798395]]","['Wp2', -33.363626632623394, [2.3990338988315565]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W4', 3.4160980956185494, [2.536453210445176]]","['Wp2', -0.01475129643037687, [2.807846707211843]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 4.313373863548283, [2.010703126328751]]","['Wp2', -5.2705765568080025, [1.587316093777132]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 4.735203887113146, [2.258228445975333]]","['Wp2', -11.160339779692798, [3.0647893798345334]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208562, [0.5573763256462845]]","['Wp2', -17.294285935826288, [2.9330315216592227]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363663, [1.6339183213097894]]","['Wp2', -23.543508610143725, [2.0388521895906355]]"
"['HD_VA', 'HR_VL']","[0.2, 0.8]","[45.0, 90.0]","['W2', 5.2295277274926955, [2.3177757306667064]]","['Wp2', -29.85546526308979, [1.9652828019569226]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 2.6488888388156613, [2.809391419329526]]","['Wp2', -0.011898191011908477, [2.114366145026799]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 3.3610293048798385, [1.7086104894173206]]","['Wp2', -4.389855825913816, [1.2463307634371914]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.7127777014985823, [1.64428548491311]]","['Wp2', -9.47503112268473, [3.05274573406026]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 3.918122038354343, [2.8443148111509364]]","['Wp2', -14.857390241220187, [1.524965935258024]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 4.051750189913992, [1.3971055028872732]]","['Wp2', -20.385610011009632, [1.266994467619193]]"
"['HD_VA', 'HR_VL']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.145356507664555, [2.9416609348911016]]","['Wp2', -25.994796975151555, [1.9855961341771238]]"
"['HD_VA', 'HR_VL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 2.5058959569037658, [1.0632166779067906]]","['Wp2', -3.4892124233428787, [1.1043373263085337]]"
"['HD_VA', 'HR_VL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.781840705666507, [2.7744422314706365]]","['Wp2', -7.70531008393699, [0.12614576408832945]]"
"['HD_VA', 'HR_VL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 2.947191535189738, [0.658250409740633]]","['Wp2', -12.264813610548071, [0.8765953645263778]]"
"['HD_VA', 'HR_VL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 3.0567544899017305, [2.3190196609844445]]","['Wp2', -17.001945404560487, [1.5063933411964565]]"
"['HD_VA', 'HR_VL']","[0.4, 0.6]","[45.0, 90.0]","['W1', 3.1345054220516473, [0.600587363972593]]","['Wp2', -21.840507103828912, [1.4246931694463973]]"
"['HD_VA', 'HR_VL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.7613915813836807, [1.7831705750546152]]","['Wp2', -2.604173113060544, [1.7297432411394993]]"
"['HD_VA', 'HR_VL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.9629237624877738, [2.8630495092368577]]","['Wp2', -5.906733367516043, [0.41266544323149135]]"
"['HD_VA', 'HR_VL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.0861534051673574, [0.6616537121666244]]","['Wp2', -9.581634732521275, [2.278647736635821]]"
"['HD_VA', 'HR_VL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 2.168990342108982, [2.7066394330102717]]","['Wp2', -13.46332899473672, [0.9811838612191092]]"
"['HD_VA', 'HR_VL']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.2283998428682072, [0.7924619733837681]]","['Wp2', -17.46808442363038, [2.0180424651739886]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W1', 4.262298904947062, [2.3974515166563117]]","['Wp2', -0.017587009845026147, [0.6550170936482039]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W3', 5.234399654353829, [2.1682946941604184]]","['Wp2', -6.101894956206918, [2.7014272274104996]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 5.82325935007022, [1.922415147166806]]","['Wp2', -12.718622108367308, [1.6894140652858816]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 6.081500181209689, [1.3382186310741195]]","['Wp2', -19.52626160910147, [0.9470664395891005]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.24149281145469, [2.5297181845662995]]","['Wp2', -26.421455468904526, [1.8300045394826279]]"
"['HD_VA', 'HL_VR']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280355, [2.7300337596608353]]","['Wp2', -33.36362663262341, [1.277536020832748]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W3', 3.4160980956185227, [1.1139828045978561]]","['Wp2', -0.014751296430370209, [1.9927312831592068]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 4.313373863548283, [2.6173641299847166]]","['Wp2', -5.270576556807998, [0.1681251375732501]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 4.735203887113145, [1.145614110565925]]","['Wp2', -11.160339779692798, [1.3639707973793835]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 4.973386508208562, [2.982842863433]]","['Wp2', -17.294285935826306, [2.375354421100948]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363664, [2.8103044607014556]]","['Wp2', -23.543508610143718, [1.2384842778517702]]"
"['HD_VA', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.2295277274927265, [1.5460131198805047]]","['Wp2', -29.85546526308979, [2.6020242250471535]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W1', 2.6488888388156613, [1.8331732730907682]]","['Wp2', -0.01189819101190781, [1.3646401596600277]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 3.36102930487984, [1.705725115385101]]","['Wp2', -4.389855825913818, [2.572910847167657]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.712777701498583, [1.4069450629244058]]","['Wp2', -9.475031122684733, [2.6528431881124144]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354346, [2.2310299300641785]]","['Wp2', -14.857390241220187, [1.925283063293495]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 4.051750189913992, [1.9482664076278509]]","['Wp2', -20.385610011009668, [1.775555517789108]]"
"['HD_VA', 'HL_VR']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.145356507664554, [1.827372431611263]]","['Wp2', -25.994796975151555, [2.165970676734783]]"
"['HD_VA', 'HL_VR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037658, [1.365754224472181]]","['Wp2', -3.489212423342882, [1.7439611807699376]]"
"['HD_VA', 'HL_VR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.781840705666505, [1.1952989552053543]]","['Wp2', -7.705310083936984, [0.8859192676823783]]"
"['HD_VA', 'HL_VR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 2.947191535189732, [2.137375860460122]]","['Wp2', -12.264813610548078, [1.0705118515082848]]"
"['HD_VA', 'HL_VR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 3.0567544899017296, [1.5686210808690058]]","['Wp2', -17.001945404560487, [3.093306474185356]]"
