time (min),HH,VV,HH_err,VV_err
223,,1638.5,,5.408819957563128
224,1549.733333333333,,6.694408944119818,
225,,1639.4333333333332,,11.102842478893033
226,1542.6000000000001,,5.4915692960513,
227,,1637.6333333333332,,7.658967148237288
228,1530.7333333333333,,6.606394208980002,
229,,1639.8333333333333,,6.292941371974736
230,1549.9000000000003,,6.584982915695383,
231,,1641.3000000000002,,3.614692241394847
232,1534.0999999999997,,6.668283137360008,
233,,1638.9333333333334,,9.442410238446067
234,1546.2333333333336,,9.983375069473151,
235,,1620.5333333333335,,7.471486539579044
236,1530.3999999999999,,6.470857748397807,
237,,1635.8999999999999,,4.7726303020452
238,1540.2666666666664,,3.863561971951668,
239,,1643.7666666666664,,4.637647871257328
240,1546.3,,6.209616198553135,
241,,1633.7333333333333,,5.058502193776767
242,1538.9333333333334,,5.010300501078866,
243,,1633.4333333333332,,7.775417102066685
244,1537.5333333333335,,4.542735348272489,
245,,1635.2333333333333,,5.076591157241036
246,1545.1333333333332,,6.053245226965275,
247,,1630.0333333333335,,10.296072606149934
248,1519.1666666666667,,7.648514743254252,
249,,1631.2,,6.466529208161043
250,1531.3999999999999,,4.952575087769978,
251,,1635.3999999999999,,6.158787759508078
252,1540.966666666667,,5.499919191325539,
253,,1639.3,,8.066845728040171
254,1537.3999999999999,,6.027050135292829,
255,,1628.0333333333335,,7.4546480653198905
256,1532.7666666666667,,10.38298822326425,
257,,1629.1666666666667,,6.776511721461948
258,1549.8333333333333,,4.862486789470771,
259,,1624.4000000000003,,4.061526806510101
260,1541.4666666666665,,8.492140156900637,
261,,1624.8333333333333,,5.823267505829025
262,1539.9000000000003,,4.119142305545321,
263,,1638.3,,5.0434776361818665
264,1542.2,,5.256614880319846,
265,,1628.8666666666668,,4.373455282852588
266,1539.966666666667,,5.869790834812119,
267,,1628.966666666667,,8.477643802640229
268,1538.9333333333334,,7.600994087033024,
269,,1633.5000000000002,,7.045140168939142
270,1544.3999999999999,,3.864712149694976,
271,,1638.9333333333334,,4.7532912574107655
272,1547.1999999999998,,5.49884836427895,
273,,1640.0,,8.801969476581178
274,1540.1666666666667,,6.867783080765153,
275,,1643.3333333333333,,6.194549575590185
276,1555.2,,8.35878779090208,
277,,1637.3,,6.395571384429501
278,1546.1666666666667,,6.643978058696798,
279,,1631.3,,9.17224072950553
280,1552.8333333333333,,5.890199015690763,
281,,1632.466666666667,,4.40625817572134
282,1541.0666666666666,,5.160017226500093,
283,,1640.3666666666666,,7.496384313639325
284,1538.2,,5.445977108533104,
285,,1640.6666666666667,,6.512074255650901
286,1541.8,,9.53282049902684,
287,,1645.0999999999997,,8.716230071921387
288,1528.033333333333,,6.789681714025898,
289,,1653.2333333333333,,8.205594297659223
290,1544.0999999999997,,7.137646670997389,
291,,1634.4333333333334,,8.093687526571435
292,1545.3999999999999,,3.235222815613606,
293,,1641.9666666666665,,3.9206858810388954
294,1551.2666666666664,,3.0038493822279415,
295,,1639.3333333333333,,7.440728757618058
296,1542.5,,6.1026223871381795,
297,,1644.8999999999999,,10.68079272963076
298,1541.3,,4.07160901855768,
299,,1643.5,,4.664404213473209
300,1539.6333333333334,,3.9690189103997664,
